"coefficient","bootstrap_lower","bootstrap_upper","bootstrap_mean","standard_lower","standard_upper","bootstrap_width","standard_width","width_difference"
"(Intercept)",-2.85970325792575,-2.5309135211165,-2.68522736345749,-2.84341484020473,-2.52983583095553,0.328789736809248,0.313579009249201,0.015210727560047
"age",-0.22986606771739,-0.173699975503744,-0.20172582201156,-0.229122082812136,-0.174754634686599,0.0561660922136454,0.0543674481255365,0.0017986440881089
"black",0.107851280681397,0.306667690891648,0.203061364870784,0.102767664750784,0.303266581090971,0.198816410210251,0.200498916340187,-0.00168250612993573
"black_nyc",-0.129449097986398,0.0738991162953044,-0.0285140388589037,-0.1263720153438,0.0743436167755212,0.203348214281702,0.200715632119321,0.00263258216238113
"charge_score",-0.0156230921111297,0.0353552025146873,0.0101121580466105,-0.0166794376462277,0.0358512493341083,0.050978294625817,0.052530686980336,-0.00155239235451906
"male",0.164307934702356,0.28675802344493,0.224066075665654,0.165527701134241,0.283125934991001,0.122450088742573,0.11759823385676,0.00485185488581305
"nmr_requested",0.0952418001911472,0.401840379745578,0.251042876555562,0.0952368029216697,0.409457238544582,0.306598579554431,0.314220435622912,-0.00762185606848115
"no_release_requested",-0.0554321103193505,0.216303866503142,0.075949011954914,-0.0562366480378918,0.21191629281765,0.271735976822493,0.268152940855542,0.00358303596695086
"nyc",0.109661042564498,0.240984689667528,0.175280348202316,0.1060190616369,0.242067300010641,0.13132364710303,0.136048238373741,-0.00472459127071151
"pend_priors_missing",NA,NA,NA,NA,NA,NA,NA,NA
"pending_misd",0.89934815702146,1.01520656193523,0.956039654888465,0.899537853399766,1.01074652299054,0.115858404913768,0.111208669590778,0.00464973532299007
"pending_nonvfo",0.563500192046842,0.699238003041564,0.63386896196366,0.566899619560145,0.698235018011234,0.135737810994722,0.131335398451089,0.00440241254363327
"pending_vfo",0.506967986244939,0.699097157485402,0.605513669026492,0.514630168487287,0.699573768148719,0.192129171240464,0.184943599661432,0.00718557157903132
"prior_misd_cnt",0.0909538588766033,0.112222567431348,0.102374772950534,0.0916948737505714,0.11303793501749,0.0212687085547452,0.0213430612669188,-7.43527121735976e-05
"prior_nonvfo_cnt",0.0240287767544648,0.0906449658206392,0.0574285167590854,0.0249386920412555,0.0909666682066052,0.0666161890661743,0.0660279761653497,0.000588212900824628
"prior_vfo_cnt",0.102321125016141,0.205643481553369,0.154758046036883,0.100810073123779,0.205913165020173,0.103322356537228,0.105103091896394,-0.00178073535916566
"remand_requested",-0.65944614349689,0.351051421838641,-0.114647307252671,-0.590686150936603,0.378621881409191,1.01049756533553,0.969308032345794,0.0411895329897375
"requests_missing",-0.753255717467414,0.937536015318107,0.0499216824822641,-0.716165466686938,0.867833234531202,1.69079173278552,1.58399870121814,0.106793031567381
"ror_requested",-0.0796702344499969,0.214246834341277,0.0544735721841409,-0.0814760342747008,0.192996883689087,0.293917068791274,0.274472917963787,0.0194441508274864
"violent",-0.386025365858956,-0.147419916479839,-0.265947546315135,-0.383519731520719,-0.148382628374876,0.238605449379117,0.235137103145843,0.00346834623327444
"white",0.0502925163788776,0.210699953977628,0.126635213908458,0.0477823521716131,0.20823566153502,0.16040743759875,0.160453309363407,-4.58717646571183e-05
