"coefficient","Bootstrap_CI","Standard_CI"
"age","[-0.23, -0.174]","[-0.229, -0.175]"
"black","[0.108, 0.307]","[0.103, 0.303]"
"male","[0.164, 0.287]","[0.166, 0.283]"
"nyc","[0.11, 0.241]","[0.106, 0.242]"
"pending_misd","[0.899, 1.015]","[0.9, 1.011]"
"pending_nonvfo","[0.564, 0.699]","[0.567, 0.698]"
"pending_vfo","[0.507, 0.699]","[0.515, 0.7]"
"prior_misd_cnt","[0.091, 0.112]","[0.092, 0.113]"
"prior_nonvfo_cnt","[0.024, 0.091]","[0.025, 0.091]"
"prior_vfo_cnt","[0.102, 0.206]","[0.101, 0.206]"
"violent","[-0.386, -0.147]","[-0.384, -0.148]"
"white","[0.05, 0.211]","[0.048, 0.208]"
